gsm,expr,group
GSM831749,6.732180227,ATC
GSM831750,7.643231262,ATC
GSM831751,8.250354067,ATC
GSM831752,8.062835201,ATC
GSM831753,7.191717827,ATC
GSM831754,7.098833316,ATC
GSM831755,6.710364679,ATC
GSM831756,7.868620351,ATC
GSM831757,8.250366151,ATC
GSM831758,6.660100451,ATC
GSM831759,8.255128676,PTC
GSM831760,7.834442894,PTC
GSM831761,7.605412735,PTC
GSM831762,7.273945366,PTC
GSM831763,7.286636235,PTC
GSM831764,7.894647761,PTC
GSM831765,7.884090307,PTC
GSM831766,7.767900009,PTC
GSM831767,8.143771028,PTC
GSM831768,8.0733851,PTC
GSM831769,7.042701089,PTC
GSM831770,8.226340791,PTC
GSM831771,8.249263366,PTC
GSM831772,8.147690407,PTC
GSM831773,7.478879533,PTC
GSM831774,8.018898858,PTC
GSM831775,7.888747614,PTC
GSM831776,7.883567068,PTC
GSM831777,8.496297718,PTC
GSM831778,7.884488917,PTC
GSM831779,7.80887053,PTC
GSM831780,7.875106273,PTC
GSM831781,8.392473876,PTC
GSM831782,8.000380944,PTC
GSM831783,6.502191248,PTC
GSM831784,6.861009495,PTC
GSM831785,7.725446066,PTC
GSM831786,7.842351983,PTC
GSM831787,7.536553137,PTC
GSM831788,7.975756919,PTC
GSM831789,8.242905012,PTC
GSM831790,7.918302216,PTC
GSM831791,8.163553401,PTC
GSM831792,7.577930092,PTC
GSM831793,7.720855607,PTC
GSM831794,8.148768846,PTC
GSM831795,7.864421386,PTC
GSM831796,7.720134185,PTC
GSM831797,8.440552023,PTC
GSM831798,7.600313205,PTC
GSM831799,8.027583285,PTC
GSM831800,7.488351811,PTC
GSM831801,8.154929765,PTC
GSM831802,8.022370129,PTC
GSM831803,7.826264239,PTC
GSM831804,7.878602019,PTC
GSM831805,8.069691786,PTC
GSM831806,7.630240491,PTC
GSM831807,8.057841724,PTC
GSM831808,6.923756372,Normal
GSM831809,7.079765433,Normal
GSM831810,6.948945149,Normal
GSM831811,6.74094033,Normal
GSM831812,6.585519848,Normal
GSM831813,6.954244951,Normal
GSM831814,6.435128563,Normal
GSM831815,6.830067024,Normal
GSM831816,6.430208892,Normal
GSM831817,6.727013794,Normal
GSM831818,6.956006677,Normal
GSM831819,6.790069793,Normal
GSM831820,6.65932393,Normal
GSM831821,7.118475969,Normal
GSM831822,6.999970887,Normal
GSM831823,6.652920742,Normal
GSM831824,6.36076971,Normal
GSM831825,6.641225213,Normal
GSM831826,6.76629351,Normal
GSM831827,6.713466071,Normal
GSM831828,6.515254478,Normal
GSM831829,6.671374447,Normal
GSM831830,6.790119339,Normal
GSM831831,7.127011078,Normal
GSM831832,7.746310169,Normal
GSM831833,7.010803116,Normal
GSM831834,6.640844241,Normal
GSM831835,6.711595112,Normal
GSM831836,6.683645742,Normal
GSM831837,6.451040423,Normal
GSM831838,7.225658681,Normal
GSM831839,6.484842655,Normal
GSM831840,6.915587798,Normal
GSM831841,7.079340451,Normal
GSM831842,6.977776415,Normal
GSM831843,6.855816426,Normal
GSM831844,6.95942039,Normal
GSM831845,7.178987822,Normal
GSM831846,6.831432555,Normal
GSM831847,7.130188835,Normal
GSM831848,7.012171366,Normal
GSM831849,6.981136809,Normal
GSM831850,6.553132036,Normal
GSM831851,6.929587538,Normal
GSM831852,7.117571171,Normal
GSM831853,8.886396271,ATC
