abbr,nt,nn,fc,p
TGCT,148,165,3.292,5.566684429225928e-50
CHOL,36,9,3.283999999999999,5.254219207195294e-06
KIRP,288,168,2.069000000000001,1.3579955586612685e-59
THCA,504,59,1.7729999999999997,4.863807155921662e-31
PAAD,178,171,1.7330000000000005,1.7562255340096938e-46
OV,419,88,1.6744999999999983,2.9827031974008554e-31
KIRC,530,168,1.5540000000000003,4.1173068905193895e-56
LIHC,369,160,1.3644999999999996,5.4849417489493766e-11
SKCM,102,557,0.8600000000000012,8.901579822991372e-25
BLCA,407,28,0.5950000000000006,0.00022407996849570927
LUSC,498,397,0.41999999999999993,2.6829929266145642e-17
STAD,414,210,0.36999999999999744,0.1451668978000276
HNSC,518,44,0.3600000000000012,0.0005615854762041695
LUAD,513,397,0.17999999999999972,0.0003170573896966654
GBM,153,1146,0.10999999999999943,0.11135141829805671
UCEC,180,23,0.02000000000000135,0.7629866631309536
KICH,66,168,-0.14149999999999885,0.10680355206898427
UCS,57,78,-0.3050000000000015,0.0014679080356629968
LGG,509,1146,-0.5100000000000016,2.2165266101764438e-23
READ,92,10,-0.5894999999999992,0.1595221408230385
ESCA,181,666,-0.8599999999999994,1.9586088649671305e-22
BRCA,1092,292,-0.9400000000000013,5.451699246496486e-53
PRAD,495,152,-1.120000000000001,4.876544831409126e-41
COAD,288,349,-1.92,1.8063735426642482e-30
