drug,pert_id,score,cell,dose,time
vorinostat,BRD-K81418486,0.0693,PC3,10.0,24.0
AG 592,BRD-K89930444,0.0644,HA1E,10.0,24.0
Narciclasine,BRD-K06792661,0.0644,HA1E,10.0,24.0
Tyrphostin AG 1478,BRD-K68336408,0.0644,HA1E,56.78,24.0
vorinostat,BRD-K81418486,0.0644,HA1E,10.0,24.0
BI-2536,BRD-K64890080,0.0644,BT20,10,24
trichostatin A,BRD-A19037878,0.0594,HCC515,10.0,24.0
geldanamycin,BRD-A19500257,0.0594,HA1E,10.0,24.0
trichostatin A,BRD-A19037878,0.0594,PC3,10.0,24.0
89671,BRD-A31107743,0.0594,HA1E,0.09,24.0
vorinostat,BRD-K81418486,0.0594,PC3,10.0,24.0
Brefeldin A,BRD-A17065207,0.0545,HA1E,10.0,24.0
Z-Leu3-VS,BRD-K15935639,0.0545,HCC515,10.0,24.0
trichostatin A,BRD-A19037878,0.0545,PC3,10.0,24.0
Hinokitiol,BRD-K37691127,0.0545,HA1E,10.0,24.0
geldanamycin,BRD-A19500257,0.0545,HA1E,10.0,24.0
piperlongumine (HPLC),BRD-K24132293,0.0545,PC3,10.0,24.0
trichostatin A,BRD-A19037878,0.0545,PC3,10.0,24.0
PUROMYCIN HYDROCHLORIDE,BRD-A28970875,0.0495,HCC515,10.0,24.0
PUROMYCIN HYDROCHLORIDE,BRD-A28970875,0.0495,PC3,10.0,24.0
Lasalocid sodium salt,BRD-K10207760,0.0495,HA1E,10.0,24.0
528116.cdx,BRD-K49371609,0.0495,COV644,0.09,6.0
trichostatin A,BRD-A19037878,0.0495,HA1E,10.0,24.0
PK-11195,BRD-A41451487,0.0495,HA1E,160.0,24.0
QUINACRINE HYDROCHLORIDE,BRD-A45889380,0.0495,SNGM,10.0,6.0
trichostatin A,BRD-A19037878,0.0495,HA1E,10.0,6.0
T7765,BRD-K10573841,0.0495,SKB,10.0,24.0
HY-10992,BRD-K46056750,0.0495,ASC,10.0,24.0
geldanamycin,BRD-A19500257,0.0495,HA1E,3.33,24
geldanamycin,BRD-A19500257,0.0495,MCF7,1.11,24
geldanamycin,BRD-A19500257,0.0495,BT20,10,24
BI-2536,BRD-K64890080,0.0495,BT20,1.11,24
geldanamycin,BRD-A19500257,0.0495,HA1E,1.11,24
linifanib,BRD-K99749624,0.0495,PC3,10,24
GSK-1059615,BRD-K02708799,0.0495,SKBR3,10,24
geldanamycin,BRD-A19500257,0.0446,HA1E,10.0,24.0
Caffeic acid phenethyl ester,BRD-K84709232,0.0446,HA1E,10.0,24.0
trichostatin A,BRD-A19037878,0.0446,HCC515,10.0,6.0
trichostatin A,BRD-A19037878,0.0446,PC3,10.0,24.0
trichostatin A,BRD-A19037878,0.0446,HCC515,10.0,24.0
CT-200783,BRD-K02822062,0.0446,A375,10.0,24.0
CLONIDINE HYDROCHLORIDE,BRD-K98530306,0.0446,COV644,10.0,6.0
vorinostat,BRD-K81418486,0.0446,HA1E,11.1,24.0
