sample,mean,pct,n,group
ATC08,0.03212642153654327,1.702127659574468,235,Malignant
ATC09,0.6501047920030932,65.38049303322614,933,Malignant
ATC10,0.18036478221604335,30.0,70,Malignant
ATC11,0.5603646482216029,67.5,200,Malignant
ATC12,0.3692020067542342,52.68817204301075,1395,Malignant
ATC13,0.6900047425683714,64.93200836820083,3824,Malignant
ATC14,0.6252505816304924,34.78260869565217,23,Malignant
ATC15,0.16776298384595095,8.928571428571429,56,Malignant
PTC01,0.3175129746757822,34.02203856749311,3630,Malignant
PTC03,0.1546641121012848,25.624999999999996,160,Malignant
PTC04,0.16573654200437046,24.109931292941912,1601,Malignant
PTC05,0.4563968611216958,68.42105263157895,760,Malignant
PTC06,0.429280942620377,66.3019693654267,457,Malignant
PTC07,0.28076110907879503,41.87685459940653,2696,Malignant
NORM03,0.07046474340081248,13.095238095238097,168,Normal epithelial
NORM07,0.06782175987641216,10.303030303030303,165,Normal epithelial
NORM18,0.1451659666173468,22.83464566929134,127,Normal epithelial
NORM19,0.1108227306345073,11.447811447811448,297,Normal epithelial
NORM20,0.014631511505752816,3.4482758620689653,29,Normal epithelial
